word,translate,country
韩美,South Korea and the United States,
波多利亚克,Podoliac,
陆委会,Mainland Affairs Council,
南美洲,South America,
哥斯达黎加,costa rica,
巴拿马,Panama,
乌至少,At least,
莱索托,Lesotho,Lesotho
武装派,armed faction,
阿尔及尔,algiers,
中南美洲,Central and South America,
莆田,Putian,
中国式,Chinese-style,
古吉拉特邦,gujarat,
俄舰队,Russian Fleet,
CBC,CBC,
中老,middle-aged and old,
G7,G7,
省政府,provincial government,
复合体,Complex,
高通,Qualcomm,
援萨摩亚,Aid to Samoa,
魁北克,quebec,
克伦邦,kain state,
沙姆沙伊赫,Sharm El Sheikh,
犹他州,Utah,
博览会,expo,
江西,Jiangxi,
南博会,CAEXPO,
南德意志报,sueddeutsche Zeitung,
马方,Ma Fang,Malaysia
南线,Southern Line,
乌兰巴托,Ulaanbaatar,
金圣于,Jin Shengyu,
辛克莱尔,sinclair,
喜马拉雅,Himalayas,
央视,CCTV,
长江,Yangtze,
罔顾,disregard,
尼日利亚拉各斯,"Lagos, Nigeria",
毛主义,Maoism,
兰布卡,Lambuka,
华商会,Chinese Chamber of Commerce,
1.1,1.1,
XBB,XBB,
最高,Highest,
阿外交部,Ministry of Foreign Affairs of Afghanistan,
阿工业,A industrial,
韩正式,Han official,
旅行者,traveler,
博克拉,pokhara,
阿卜杜勒·拉赫曼·马基,Abdul Rahman al-Maki,
杰宁,Jenin,
布宜诺斯艾利斯,buenos aires,
俄媒,Russian media,
韩时,Han Shi,
白沙瓦市,Peshawar city,
4G,4G,
匈牙利匈,Hungary Hungary,
下议院,House of Commons,
何时向斯,When to go to Si,
斯友好,Sri Lanka friendly,
进出口,import and export,
蒙大拿州,montana,
浅水区,Shallow water,
青岛港,Qingdao Port,
国安会,National Security Council,
福特,Ford,
密歇根州,Michigan,
弗吉尼亚,virginia,
非国家,non-state,
江门市,Jiangmen,
秦刚,Qin Gang,
瓦格纳,Wagner,
研究院,Research Institute,
大会党,congress party,
惠誉,Fitch,
华大,BGI,
乌克兰核,Ukrainian nuclear,
马赫尔,Maher,
切歇尔斯卡,Checherska,
中荷,middle load,
荷,load,
中西,Nakanishi,
叙撤军,Syria withdraws troops,
陆锁国,Land-locked country,
短程,short range,
中业岛,Thitu Island,
阿曼,Oman,
英内,Einai,
大西洋,atlantic ocean,
威权,authoritarian,
卢拉访,Lula visit,
马里乌波尔,Mariupol,
GI,GI,
乌战场,Ukraine battlefield,
努瓦克肖特,nouakchott,
毛里塔尼亚,mauritania,
危地马拉,Guatemala,
联议会,joint parliament,
益普索,Ipsos,
自由党,Liberal party,
日籍,Japanese nationality,
中洪,Zhonghong,
乌中,Wuzhong,
南京,Nanjing,
俄联邦,Russian Federation,
红其拉甫,Khunjerab,
菲保卫,Philippine Guard,
中埃,China and Egypt,
埃约,eyo,
第三方,third party,
旅美,travel beauty,
斯债权人,creditors,
三菱,mitsubishi,
萨那,sana,
德方,German side,
加蓬,Gabon,
斯里兰卡和斯,Sri Lanka and Sri Lanka,
马里,Mali,
孔子,Confucius,
总领事馆,Consulate General,
Gochin,Gochin,
中非共和国,central african republic,
爱国者,patriot,
民调,poll,
大会于,The conference was held at,
喀土穆,Khartoum,
光明,bright,
英本,English book,
南戈,Nango,
乌前,Wu Qian,
韩核,Korean nuclear,
贝恩,Bain,
长津湖,changjin lake,
仁爱礁,Ren'ai Reef,
乌宪法,Constitution of Ukraine,
阿巴三,Abbasan,
克里姆林宫,Kremlin,
中国派,Chinese style,
克莱弗利,Cleverly,
台为,Taiwei,
立法院,Legislature,
查尔斯,charles,
斯里兰卡债,Sri Lanka debt,
阿恐怖,A horror,
斯德哥尔摩,Stockholm,
布鲁盖尔,Bruegel,
妇女,women,
三重,Triple,
陕西,Shaanxi,
朝阳市,Chaoyang City,
苏纳克,Sunak,
乌外长,Ukrainian Foreign Minister,
长崎,Nagasaki,
沙特吉达,"Jeddah, Saudi Arabia",
圣萨尔瓦多,san salvador,
百度,Baidu,
Microvast,Microvast,
韩方,Korean medicine,
柏林,Berlin,
举行史,holding history,
第八,eighth,
财政,financial,
乌军方,Ukrainian military,
布罗马雷尔,Bromaire,
马海域,Ma Haiyu,
梅托希亚,metohija,
海军,navy,
洪使馆,Hong Embassy,
北大西洋,North Atlantic,
联络处,Liaison Office,
英使馆,British Embassy,
琉球馆,Ryukyu Hall,
哈萨克族,Kazakh,
柯尔克孜族,Kirgiz,
车臣,Chechnya,
驻在国,country of residence,
台军,Taiwan Army,
教科文,UNESCO,
华沙,Warsaw,
阿巴斯,Abbas,
圣彼得堡,saint petersburg,
乌筹办,Organized by Ukraine,
塞内加尔,Senegal,Senegal
俄新社,RIA Novosti,
阿当,Adang,
瓦格纳雇,Wagner hired,
哥本哈根,copenhagen,
金斯率,Kings rate,
ASDA,ASDA,
自然·可持续,Natural and sustainable,
排放核,emission nuclear,
日排海,Himekai,
福州市,Fuzhou City,
维尔纽斯,Vilnius,
若,like,
人民党,People's Party,
菲防卫,Philippine defense,
日禁化,ban on daily life,
西欧,Western Europe,
周美,Zhou Mei,
东加勒,east galle,
宫城县,Miyagi Prefecture,
渔业,fishery,
阿斯彭,Aspen,
消息报,Izvestia,
澳新,Australia and New Zealand,
深圳市,Shenzhen,
美防长,U.S. Secretary of Defense,
安卡拉,Ankara,
格鲁吉亚,georgia,Georgia
焦尔部,joule department,
气候,climate,
联席,joint,
纳瓦布沙阿,Nawab Shah,
维森西奥,Vicencio,
阿雷瓦洛,Arevalo,
安瓦尔·哈克·卡卡尔,Anwar Haq Kakkar,
拉脱维亚,Latvia,Latvia
爱沙尼亚,Estonia,Estonia
什叶派,Shia,
日官方,Japanese official,
中建岛,Zhongjian Island,
中丹,Zhongdan,
美思,Meisi,
泰党,Thai Party,
渣打,Standard Chartered,
宪法,constitution,
中贝,medium price,
振华,Zhenhua,
华盛顿州,washington state,
大气,atmosphere,
天主教会,Catholic Church,
中委,Central Committee,
河内,Hanoi,
高铁,high speed rail,
木姐镇,Muse Town,
沙特同,Saudi Arabia,
雷蒙多,Raimondo,
苏州,suzhou,
沙特南部,southern Saudi Arabia,
圣地亚哥,san diego,
近日率,recent rate,
哈马斯,Hamas,
库尔德,Kurdish,
中秋,Mid-Autumn Festival,
阿赫利,Ahli,
特拉维夫,tel aviv,
石墨,graphite,
UNRWA,UNRWA,
WPP,WPP,
统一,Unite,
马耳他,malta,
调查局,Bureau of Investigation,
阿文明,A civilization,
伊曼纽尔,Emmanuel,
日驻军,Japanese garrison,
达吉斯坦,Dagestan,
公安部,Ministry of Public Security,
财政司,Financial Secretary,
沙蒂,Shadi,
斯莫特里奇,Smotrich,
阿尔巴尼斯,Albanese,
澳图,Australian map,
南坎,Nankan,
长沙,Changsha,
联合国军,United Nations Forces,
埃克森,Exxon,
韩正,Han Zheng,
中土,middle earth,
华免,Huadu,
中关于,About,
英建厂,Yingjian factory,
G42,G42,
阿当选,A was elected,
阿是否,Ah whether,
马达加斯加,madagascar,
屋久岛,Yakushima,
日境内,day precincts,
国驻华,country in china,
穆迪,Moody's,
港媒,Hong Kong media,
俄共,Communist Party of Russia,
蒙古族人,Mongolian people,
区议会,District Council,
COP28,COP28,
阿塞拜疆,Azerbaijan,
耶伦昨天,Yellen yesterday,
埃塞奎博,essequibo,
寄宿制,boarding system,
米舒斯京,Mishustin,
甘肃,Gansu,
巴奈特,Barnett,
资工厂,capital factory,
日生产,daily production,
vivo,vivo,
俾省,Bali Province,
日公民,Japanese citizens,
南伞镇,Nansan Town,
白翎岛,Baengnyeong Island,
法鲁克,Farooq,
波克罗夫斯克区,pokrovsk district,
顿涅茨克,donetsk,
半岛台,peninsula terrace,
瓦伊勒,wail,
罕萨,Hunza,
孟,Meng,
COSCO,COSCO,
厄瓜多尔,Ecuador,
索马里兰,Somaliland,
巴新方,Papua New Guinea side,
蒙迪诺于,Mondino,
福岛市,Fukushima City,
CSIS,CSIS,
远程,Remotely,
埃关于,About,
埃方,Egypt,
亚库尔德,Yakurd,
伊拉克库尔德,Iraqi Kurdish,
埃尔比勒,erbil,
巴于,Bayu,
瑙鲁,Nauru,
菲声索,Philippine claim,
多哥,Togo,
菲南海,Philippines South China Sea,
ABB,ABB,
福宝,Fubao,
反卫星,anti-satellite,
ICJ,ICJ,
乌琳娜,Ulina,
波德斯塔,Podesta,
阿尼奥,anio,
南极罗斯海,"Ross Sea, Antarctica",
阿纳姆,Arnhem,
防特网,Anti-Special Network,
哈尔滨,Harbin,
日历,calendar,
拉法,Rafa,
纳瓦利内,Navalny,
阿尔瓦雷斯,Alvarez,
入口处,entrance,
中立自主,Neutral and autonomous,
恐华症,Sinophobia,
乌克兰愿,Ukraine wishes,
中瑞,Sino-Swiss,
AI,AI,
加沙城,Gaza City,
十四,fourteen,
尼共,Communist Party of Nepal,
联合马列,United Marxist-Leninist,
东盟于,ASEAN in,
中正,Zhongzheng,
安提瓜和巴布达,Antigua and Barbuda,
西游记,journey to the west,
坦桑尼亚达,Tanzania,
金门岛,kinmen island,
北部湾,northern bay,
交账户,Hand over account,
中安,Zhongan,
菲表态,Philippine statement,
大塚海夫,Umio Otsuka,
神户,Kobe,
菲占南海,Philippines occupies South China Sea,
菲海警,Philippine Coast Guard,
耶伦称,Yellen said,
行政院长,Executive Dean,
菲间,Feijian,
港人,Hong Kong people,
多处,Many places,
巴台,batai,
阿卡普尔科,acapulco,
华春莹,Hua Chunying,
东帝汶,East Timor,
